"","strain","cond","time","mean_mumax","sd_mumax","rsq_mean","mean_lag","sd_lag","well","rsq_x","row","column","media","edge","rep","y0","y0_lm","mumax","lag"
"50","kb","L",15,0.248841787327545,0.00543985503924567,0.991446264854903,19.4102031111557,0.432151585540157,"A5",0.994405096080296,"A",5,"succ",1,"a",0.017,0.000134545869349312,0.241382931241281,20.0472478364456
"51","kb","L",15,0.248841787327545,0.00543985503924567,0.991446264854903,19.4102031111557,0.432151585540157,"B2",0.986466496470063,"B",2,"succ",0,"b",0.013,0.000130159410742708,0.243506883653554,18.9068359450151
"52","kb","L",15,0.248841787327545,0.00543985503924567,0.991446264854903,19.4102031111557,0.432151585540157,"B5",0.984129961352085,"B",5,"succ",0,"b",0.012,9.09724328977796e-05,0.256153642118346,19.0592855247441
"53","kb","L",15,0.248841787327545,0.00543985503924567,0.991446264854903,19.4102031111557,0.432151585540157,"C2",0.996777613349428,"C",2,"succ",0,"c",0.015,0.000118955918122938,0.250225152634561,19.3308004435793
"54","kb","L",15,0.248841787327545,0.00543985503924567,0.991446264854903,19.4102031111557,0.432151585540157,"C5",0.993986130334164,"C",5,"succ",0,"c",0.015,0.00011782821779337,0.250680760728724,19.3336643929961
"55","kb","L",20,0.203692853344483,0.0141943697882659,0.985630555666275,19.8252348016766,1.37503976418596,"A2",0.959327451598624,"A",2,"succ",1,"a",0.023,0.00100593439228029,0.176347404698077,17.7466596015835
"56","kb","L",20,0.203692853344483,0.0141943697882659,0.985630555666275,19.8252348016766,1.37503976418596,"A5",0.997170585100341,"A",5,"succ",1,"a",0.028,0.000234131426855215,0.21695374793347,22.0511386588602
"57","kb","L",20,0.203692853344483,0.0141943697882659,0.985630555666275,19.8252348016766,1.37503976418596,"B2",0.995779348025244,"B",2,"succ",0,"b",0.022,0.000358313137074981,0.205833129849302,20.0035361008253
"58","kb","L",20,0.203692853344483,0.0141943697882659,0.985630555666275,19.8252348016766,1.37503976418596,"B5",0.984230893111943,"B",5,"succ",0,"b",0.02,0.000374951249316538,0.204467196928688,19.4490441331095
"59","kb","L",20,0.203692853344483,0.0141943697882659,0.985630555666275,19.8252348016766,1.37503976418596,"C2",0.98473397956424,"C",2,"succ",0,"c",0.023,0.000385552898019728,0.206430744853381,19.8060182119603
"60","kb","L",20,0.203692853344483,0.0141943697882659,0.985630555666275,19.8252348016766,1.37503976418596,"C5",0.992541076597257,"C",5,"succ",0,"c",0.021,0.000308601360082137,0.21212489580398,19.8950121037208
